SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
HEROMOTOCO, EQ, 10-Jun-2019, 2762.80, 2794.00, 2794.00, 2717.20, 2738.05, 2745.00, 2748.36, 493407, 13560.59, 35014, 125394, 25.41
HESTERBIO, EQ, 10-Jun-2019, 1864.65, 1890.00, 1899.00, 1841.20, 1887.00, 1882.55, 1875.87, 4821, 90.44, 776, 3049, 63.24
HEXATRADEX, BE, 10-Jun-2019, 14.50, 14.00, 14.85, 14.00, 14.40, 14.40, 14.17, 7095, 1.01, 51, -, -
HEXAWARE, EQ, 10-Jun-2019, 344.40, 346.10, 356.50, 345.90, 354.30, 354.40, 353.49, 784891, 2774.53, 13924, 144834, 18.45
HFCL, EQ, 10-Jun-2019, 21.25, 21.35, 21.40, 21.00, 21.05, 21.15, 21.08, 1423033, 300.03, 1695, 928066, 65.22
HGINFRA, EQ, 10-Jun-2019, 296.55, 300.00, 304.00, 281.40, 283.45, 282.85, 290.40, 24063, 69.88, 1556, 16943, 70.41
HGS, EQ, 10-Jun-2019, 642.80, 642.80, 653.45, 635.00, 643.00, 640.85, 644.91, 7333, 47.29, 863, 900, 12.27
HHOF1140RG, MF, 10-Jun-2019, 9.00, 9.10, 9.10, 8.94, 9.07, 9.02, 9.01, 30675, 2.76, 15, 28000, 91.28
HIGHGROUND, EQ, 10-Jun-2019, 4.80, 4.95, 5.00, 3.90, 3.95, 4.00, 4.33, 1575181, 68.23, 593, 526071, 33.40
HIKAL, EQ, 10-Jun-2019, 168.60, 170.50, 170.50, 167.20, 167.60, 168.35, 168.34, 34516, 58.11, 1478, 21044, 60.97
HIL, EQ, 10-Jun-2019, 1678.10, 1685.00, 1705.00, 1637.45, 1646.15, 1649.10, 1666.07, 7389, 123.11, 1184, 6143, 83.14
HILTON, BE, 10-Jun-2019, 15.25, 15.90, 15.90, 14.75, 15.00, 15.00, 14.89, 549, 0.08, 6, -, -
HIMATSEIDE, EQ, 10-Jun-2019, 175.65, 175.65, 181.85, 174.10, 176.00, 175.05, 176.59, 177282, 313.06, 3009, 113833, 64.21
HINDALCO, EQ, 10-Jun-2019, 194.80, 196.80, 198.60, 195.00, 198.05, 198.25, 196.64, 3880878, 7631.17, 41860, 1340218, 34.53
HINDCOMPOS, EQ, 10-Jun-2019, 200.20, 202.60, 208.85, 200.05, 207.50, 207.20, 205.06, 1602, 3.29, 92, 1226, 76.53
HINDCON, SM, 10-Jun-2019, 21.80, 23.50, 25.50, 23.50, 25.50, 24.50, 24.50, 8000, 1.96, 2, 8000, 100.00
HINDCOPPER, EQ, 10-Jun-2019, 42.65, 42.75, 43.00, 41.25, 41.70, 41.70, 42.03, 550010, 231.14, 2794, 247627, 45.02
HINDMOTORS, BE, 10-Jun-2019, 7.10, 7.00, 7.15, 6.75, 6.90, 6.95, 6.87, 91037, 6.26, 142, -, -
HINDNATGLS, EQ, 10-Jun-2019, 53.10, 56.75, 58.00, 43.50, 44.90, 44.55, 47.54, 25484, 12.12, 471, 16029, 62.90
HINDOILEXP, EQ, 10-Jun-2019, 123.15, 124.90, 124.90, 121.50, 122.00, 122.60, 122.67, 95227, 116.82, 2526, 44185, 46.40
HINDPETRO, EQ, 10-Jun-2019, 311.40, 308.60, 311.10, 299.30, 306.95, 305.60, 304.00, 4409258, 13404.04, 58343, 1215135, 27.56
HINDSYNTEX, EQ, 10-Jun-2019, 3.80, 3.70, 3.70, 3.65, 3.65, 3.65, 3.67, 1525, 0.06, 3, 1525, 100.00
HINDUJAVEN, EQ, 10-Jun-2019, 392.00, 397.90, 397.90, 374.00, 376.10, 377.30, 380.77, 2582, 9.83, 236, 2102, 81.41
HINDUNILVR, EQ, 10-Jun-2019, 1830.75, 1839.80, 1864.95, 1835.00, 1848.00, 1852.50, 1852.70, 814577, 15091.69, 47767, 391195, 48.02
HINDZINC, EQ, 10-Jun-2019, 239.00, 239.95, 243.00, 237.50, 242.40, 241.80, 240.39, 862372, 2073.02, 10186, 343116, 39.79
HIRECT, EQ, 10-Jun-2019, 139.80, 138.00, 140.95, 136.00, 138.50, 138.25, 138.01, 5276, 7.28, 110, 3961, 75.08
HISARMETAL, EQ, 10-Jun-2019, 55.30, 57.00, 57.90, 51.50, 57.90, 57.55, 54.55, 12176, 6.64, 160, 5129, 42.12
HITECH, EQ, 10-Jun-2019, 308.35, 310.00, 312.90, 288.45, 302.90, 304.15, 300.16, 21642, 64.96, 403, 14005, 64.71
HITECHCORP, EQ, 10-Jun-2019, 92.65, 91.20, 92.90, 91.05, 92.00, 92.05, 91.99, 5286, 4.86, 52, 1105, 20.90
HITECHGEAR, EQ, 10-Jun-2019, 272.85, 271.05, 273.95, 264.05, 270.00, 269.20, 270.07, 5478, 14.79, 183, 3331, 60.81
HMT, BZ, 10-Jun-2019, 17.20, 17.85, 17.85, 16.60, 17.15, 17.45, 17.30, 816, 0.14, 14, -, -
HMVL, EQ, 10-Jun-2019, 105.65, 106.05, 106.95, 103.50, 103.50, 103.90, 104.78, 3371, 3.53, 121, 2855, 84.69
HNGSNGBEES, EQ, 10-Jun-2019, 2876.80, 2876.80, 2940.75, 2876.80, 2877.00, 2887.93, 2903.03, 28, 0.81, 23, 14, 50.00
HONAUT, EQ, 10-Jun-2019, 25706.95, 25990.00, 26345.00, 25650.50, 25890.00, 25846.70, 26005.21, 727, 189.06, 468, 357, 49.11
HONDAPOWER, EQ, 10-Jun-2019, 1008.00, 1006.05, 1006.05, 990.00, 999.00, 997.40, 996.70, 670, 6.68, 139, 390, 58.21
HOTELEELA, EQ, 10-Jun-2019, 8.80, 8.55, 8.80, 8.40, 8.45, 8.45, 8.52, 149352, 12.73, 391, 114177, 76.45
HOTELRUGBY, BE, 10-Jun-2019, 1.25, 1.20, 1.20, 1.20, 1.20, 1.20, 1.20, 80, 0.00, 1, -, -
HOVS, EQ, 10-Jun-2019, 127.80, 128.00, 129.95, 126.10, 126.20, 126.55, 127.65, 8025, 10.24, 241, 5214, 64.97
HPL, EQ, 10-Jun-2019, 63.80, 65.80, 66.60, 62.85, 63.40, 63.50, 64.96, 69484, 45.14, 969, 43967, 63.28
HSCL, EQ, 10-Jun-2019, 110.30, 111.70, 114.00, 111.40, 113.70, 113.70, 112.64, 621790, 700.40, 6292, 310785, 49.98
HSIL, EQ, 10-Jun-2019, 269.20, 270.50, 274.00, 265.00, 267.00, 267.05, 269.40, 25537, 68.80, 1035, 11810, 46.25
HTMEDIA, EQ, 10-Jun-2019, 29.75, 29.75, 29.75, 28.50, 28.80, 28.75, 28.72, 73461, 21.10, 567, 51393, 69.96
HUBTOWN, EQ, 10-Jun-2019, 27.00, 27.05, 27.05, 24.65, 25.20, 25.15, 25.83, 29125, 7.52, 305, 19306, 66.29
HUDCO, EQ, 10-Jun-2019, 40.90, 41.30, 41.50, 40.15, 40.65, 40.65, 40.57, 606542, 246.10, 3013, 291253, 48.02
HUDCO, N2, 10-Jun-2019, 1148.50, 1148.00, 1162.00, 1148.00, 1152.90, 1153.06, 1151.19, 2185, 25.15, 16, 1260, 57.67
HUDCO, N3, 10-Jun-2019, 1068.00, 1072.00, 1073.00, 1062.00, 1071.00, 1071.44, 1067.52, 6910, 73.77, 23, 5025, 72.72
HUDCO, N4, 10-Jun-2019, 1051.75, 1052.00, 1054.75, 1052.00, 1054.75, 1054.75, 1053.38, 40, 0.42, 2, 20, 50.00
HUDCO, N7, 10-Jun-2019, 1069.01, 1078.00, 1078.00, 1078.00, 1078.00, 1078.00, 1078.00, 10, 0.11, 2, 10, 100.00
HUDCO, ND, 10-Jun-2019, 1229.80, 1225.00, 1227.00, 1225.00, 1225.00, 1225.00, 1225.08, 1786, 21.88, 25, 1389, 77.77
HUDCO, NE, 10-Jun-2019, 1314.68, 1347.99, 1347.99, 1312.60, 1313.00, 1313.00, 1314.46, 178, 2.34, 10, 174, 97.75
IBMFNIFTY, EQ, 10-Jun-2019, 118.50, 118.00, 119.50, 117.01, 117.40, 117.35, 118.20, 2936, 3.47, 48, 823, 28.03
IBREALEST, EQ, 10-Jun-2019, 127.55, 127.90, 129.55, 123.20, 126.30, 126.65, 126.65, 7217304, 9141.00, 52217, 3179096, 44.05
IBUCCREDIT, N2, 10-Jun-2019, 1010.00, 970.10, 1010.00, 901.00, 995.01, 995.01, 955.73, 420, 4.01, 12, 200, 47.62
IBUCCREDIT, N7, 10-Jun-2019, 880.01, 900.00, 900.00, 900.00, 900.00, 900.00, 900.00, 20, 0.18, 1, 20, 100.00
IBULHSGFIN, EQ, 10-Jun-2019, 731.10, 748.00, 755.00, 723.50, 734.50, 733.35, 738.42, 7365637, 54389.31, 142922, 583233, 7.92
